tag_name,tag_type,is_array,array_size,array_start_index,array_end_index,dimensions
DI_HS_Bead_Centering_Collapsed_2,BOOL,0,,,,-
DI_McAirPrOK_IPS,BOOL,0,,,,-
DI_OPAutoStop_IPB,BOOL,0,,,,-
DI_OPAuto_IPB,BOOL,0,,,,-
DI_OPBeadPassing_IPB,BOOL,0,,,,-
DI_OPControlOFF_IPB,BOOL,0,,,,-
DI_OPControlON_IPB,BOOL,0,,,,-
DI_OPHome_IPB,BOOL,0,,,,-
DI_OPLampTest_IPB,BOOL,0,,,,-
DI_OPManual_IPB,BOOL,0,,,,-
DI_OPPahseStop_IPB,BOOL,0,,,,-
DI_OPReset_IPB,BOOL,0,,,,-
DI_Panel_Left_Door_Close_FB,BOOL,0,,,,-
DI_Panel_Right_Door_Close_FB,BOOL,0,,,,-
DI_Plant_AirPr_IPS,BOOL,0,,,,-
DI_ply1_mat_on_tray,BOOL,0,,,,-
DI_Sequence_IFS,BOOL,0,,,,-
DI_Servicer_Air_Pr_OK_IPS,BOOL,0,,,,-
DI_Servicer_Air_Pr_OK_IPS_temp,BOOL,0,,,,-
DI_Servicer_Air_Pr_OK_IPS_temp2,BOOL,0,,,,-
DI_ServoGrp1_Healthy,BOOL,0,,,,-
DI_ServoGrp2_Healthy,BOOL,0,,,,-
DI_ServoGrp3_Healthy,BOOL,0,,,,-
DI_SRHealthy_ISR,BOOL,0,,,,-
DI_Stchr_up_Position_SW,REAL,0,,,,-
DI_TSFwdEnable_IPS,BOOL,0,,,,-
DI_TS_Bead_Centering_Collapsed_1,BOOL,0,,,,-
DI_TS_Bead_Centering_Collapsed_2,BOOL,0,,,,-
DI_TS_Release_IPS,BOOL,0,,,,-
DI_UltraSonicKnife_OL_IUG,BOOL,0,,,,-
DI_ultrasonic_OL_Branson,BOOL,0,,,,-
DK_CT_MACHINE,REAL,0,,,,-
DK_CT_MAN,REAL,0,,,,-
DLR_1_Array,SINT,1,100,0,99,100
DLR_1_GetInfo,GET_DLR_INFO,0,,,,-
DLR_1_Info,DLR_NET_INFO,0,,,,-
DLR_1_Msg,MESSAGE,0,,,,-
DLR_2_Array,SINT,1,100,0,99,100
DLR_2_GetInfo,GET_DLR_INFO,0,,,,-
DLR_2_Info,DLR_NET_INFO,0,,,,-
DLR_2_Msg,MESSAGE,0,,,,-
DOWN_LIMIT_REACHED,BOOL,0,,,,-
DO_AC1_On_SSR,BOOL,0,,,,-
DO_AC2_On_SSR,BOOL,0,,,,-
DO_Barcode_LASER_ON,BOOL,0,,,,-
DO_Center_LASER_ON,BOOL,0,,,,-
Do_Check1,BOOL,0,,,,-
Do_Check2,BOOL,0,,,,-
Do_Check3,BOOL,0,,,,-
Do_Check4,BOOL,0,,,,-
Do_Check5,BOOL,0,,,,-
DO_EStop_OLT,BOOL,0,,,,-
DO_IL_Letoff_Drive_Enable,BOOL,0,,,,-
DO_LH_RH_LASER_ON,BOOL,0,,,,-
DO_MainMc_EStop_Valve_OSV,BOOL,0,,,,-
DO_MainMc_Main_Valve_OSV,BOOL,0,,,,-
DO_McHome_OLT,BOOL,0,,,,-
DO_OpPanel_AutoStop_OLT,BOOL,0,,,,-
DO_OpPanel_Auto_OLT,BOOL,0,,,,-
DO_OpPanel_BdPassing_OLT,BOOL,0,,,,-
DO_OpPanel_Ctrl_OFF_OLT,BOOL,0,,,,-
DO_OpPanel_Ctrl_ON_OLT,BOOL,0,,,,-
DO_OpPanel_LampTest_OLT,BOOL,0,,,,-
DO_OpPanel_Manual_OLT,BOOL,0,,,,-
DO_OpPanel_Phase_Stop_OLT,BOOL,0,,,,-
DO_OpPanel_Reset_OLT,BOOL,0,,,,-
DO_P1_LftHeater_SSR,BOOL,0,,,,-
DO_P1_RhtHeater_SSR,BOOL,0,,,,-
DO_P2_LftHeater_SSR,BOOL,0,,,,-
DO_P2_RhtHeater_SSR,BOOL,0,,,,-
DO_P3_LftHeater_SSR,BOOL,0,,,,-
DO_P3_RhtHeater_SSR,BOOL,0,,,,-
DO_Ply1_Blower_Relay_Enable,BOOL,0,,,,-
DO_Ply1_Knife_Drive_SSR_Enable,BOOL,0,,,,-
DO_Ply1_LetOff_Drive_SSR_Enable,BOOL,0,,,,-
DO_Ply2_Blower_Relay_Enable,BOOL,0,,,,-
DO_Ply2_Knife_Drive_SSR_Enable,BOOL,0,,,,-
DO_Ply2_LetOff_Drive_SSR_Enable,BOOL,0,,,,-
DO_Ply3_Blower_Relay_Enable,BOOL,0,,,,-
DO_Ply3_Knife_Drive_SSR_Enable,BOOL,0,,,,-
DO_Ply3_LetOff_Drive_SSR_Enable,BOOL,0,,,,-
DO_Restart_Cycle_OLT,BOOL,0,,,,-
DO_Servicer_EStop_Valve_OSV,BOOL,0,,,,-
DO_SWHeater_SSR,BOOL,0,,,,-
DO_SWHeater_SSR_Pid,BOOL,0,,,,-
DO_SWHeater_SSR_Timer,BOOL,0,,,,-
DO_SW_Conv_Drive_Enable,BOOL,0,,,,-
DO_SW_LetOff_Drive_Enable,BOOL,0,,,,-
DO_TailStock_EStop_Valve_OSV,BOOL,0,,,,-
Do_Ultrasonic_On_Branson,BOOL,0,,,,-
DO_USKnife_OLReset_OUK,BOOL,0,,,,-
DP_AWS_FS,DINT,1,300,0,299,300
Drum_Expanded,BOOL,0,,,,-
DRUM_EXP_CT,REAL,0,,,,-
Drum_Flow_Fdbk_Data1,REAL,1,1000,0,999,1000
Drum_Flow_Rate_Change,REAL,0,,,,-
Drum_Flow_Timer_Data1,REAL,1,1000,0,999,1000
